speed,length,tem,y
3.875,42.8,1444.875,103.999
4,42.863,1444.875,104.982
7.625,42.93,1444.875,104.971
10.25,43.088,1445,104.987
8.625,43.258,1445.5,105.026
10,43.405,1446.625,105.045
9.875,43.56,1446,105.059
10,43.723,1445.75,105.063
9.75,43.858,1444.875,105.039
8.875,44.009,1444.75,105.031
9.25,44.156,1444.75,105.002
9,44.289,1444.75,104.975
8.125,44.424,1444.75,104.934
9,44.572,1444.875,104.959
8.25,44.724,1444.875,104.944
8.625,44.873,1444.75,104.95
8.625,45.01,1445,104.909
8.5,45.147,1445.125,104.899
10.25,45.28,1444.875,104.906
9.125,45.429,1445,104.904
8.75,45.568,1444.875,104.892
8,45.699,1444.75,104.857
8.75,45.882,1446.75,104.862
6.75,45.966,1445.375,104.813
7.375,46.078,1446.125,104.773
7.25,46.203,1445.375,104.759
7,46.322,1445.25,104.744
8.25,46.438,1445.25,104.728
9.125,46.559,1445.125,104.74
5.875,46.666,1444.75,104.687
7.625,46.778,1445.875,104.704
7.375,46.885,1445.375,104.685
6.5,46.999,1445.625,104.682
5.75,47.118,1446.125,104.668
7.75,47.22,1445.25,104.663
5.875,47.337,1444.875,104.639
7.125,47.455,1447.625,104.643
7.125,47.567,1445.625,104.642
7.5,47.667,1446,104.627
8.125,47.785,1446,104.63
7.375,47.893,1445.5,104.616
5.375,48.004,1445.875,104.59
6.625,48.093,1444.75,104.579
6.75,48.207,1445.875,104.599
5.875,48.3,1445.375,104.567
5.5,48.418,1445,104.523
6,48.483,1445,104.532
6.25,48.586,1446.125,104.523
6.5,48.686,1444.75,104.523
5.375,48.784,1444.875,104.509
5.875,48.87,1444.75,104.481
8,48.965,1444.75,104.52
7.625,49.081,1446.125,104.547
5.5,49.16,1444.875,104.479
4.625,49.233,1444.75,104.424
5.625,49.319,1444.75,104.45
4,49.405,1444.625,104.42
4.75,49.484,1444.75,104.416
4.875,49.572,1444.875,104.422
6.75,49.682,1445.25,104.467
7.625,49.779,1444.75,104.476
5.625,49.889,1444.75,104.459
6.625,49.996,1446.125,104.478
7.5,50.093,1445.5,104.493
